iter	Passed	Remaining
869	124274	161413
870	124423	161279
871	124532	161091
872	124639	160903
873	124753	160723
874	124855	160528
875	125004	160393
876	125161	160268
877	125333	160164
878	125510	160064
879	125642	159908
880	125778	159757
881	125897	159584
882	126000	159391
883	126115	159213
884	126241	159050
885	126348	158861
886	126489	158717
887	126609	158547
888	126778	158437
889	126886	158251
890	127040	158123
891	127210	158014
892	127412	157945
893	127547	157793
894	127688	157648
895	127808	157478
896	127954	157340
897	128109	157212
898	128275	157098
899	128429	156969
900	128569	156822
901	128681	156643
902	128790	156459
903	128947	156334
904	129059	156155
905	129207	156019
906	129341	155865
907	129489	155729
908	129616	155568
909	129779	155450
910	129906	155288
911	130021	155112
912	130153	154958
913	130253	154764
914	130372	154594
915	130529	154468
916	130722	154386
917	130990	154392
918	131189	154314
919	131361	154206
920	131585	154159
921	131763	154057
922	131961	153978
923	132171	153914
924	132389	153858
925	132601	153795
926	132865	153791
927	133097	153750
928	133319	153697
929	133542	153646
930	133757	153584
931	133958	153505
932	134175	153446
933	134370	153360
934	134583	153295
935	134816	153252
936	135044	153204
937	135246	153125
938	135431	153027
939	135610	152922
940	135803	152833
941	136009	152758
942	136214	152681
943	136408	152592
944	136594	152493
945	136773	152388
946	136992	152326
947	137198	152249
948	137398	152166
949	137691	152185
950	137973	152191
951	138170	152104
952	138336	151981
953	138500	151856
954	138783	151862
955	139047	151846
956	139246	151760
957	139423	151648
958	139625	151564
959	139861	151516
960	140079	151448
961	140221	151299
962	140379	151166
963	140519	151014
964	140687	150892
965	140851	150766
966	141006	150630
967	141156	150489
968	141334	150377
969	141552	150307
970	141816	150287
971	142076	150262
972	142256	150152
973	142450	150055
974	142655	149971
975	142858	149884
976	143074	149811
977	143257	149702
978	143404	149556
979	143582	149443
980	143742	149310
981	143897	149172
982	144054	149036
983	144210	148900
984	144374	148772
985	144478	148580
986	144663	148474
987	144799	148316
988	144950	148174
989	145089	148020
990	145222	147860
991	145509	147856
992	145758	147813
993	145956	147718
994	146090	147558
995	146208	147383
996	146386	147267
997	146547	147135
998	146714	147007
999	146897	146897
1000	147001	146707
1001	147188	146601
1002	147394	146513
1003	147585	146409
1004	147779	146308
1005	148016	146251
1006	148172	146112
1007	148340	145985
1008	148477	145828
1009	148636	145693
1010	148848	145609
1011	148998	145465
1012	149145	145317
1013	149320	145197
1014	149480	145062
1015	149670	144956
1016	149835	144826
1017	150000	144696
1018	150152	144552
1019	150333	144437
1020	150501	144310
1021	150699	144211
1022	150881	144096
1023	151003	143925
1024	151200	143825
1025	151394	143721
1026	151564	143594
1027	151740	143474
1028	151905	143342
1029	152060	143202
1030	152231	143077
1031	152372	142922
1032	152516	142771
1033	152627	142590
1034	152758	142427
1035	152947	142318
1036	153102	142177
1037	153254	142033
1038	153420	141902
1039	153563	141750
1040	153703	141596
1041	153845	141443
1042	154002	141303
1043	154199	141201
1044	154428	141128
1045	154634	141033
1046	154802	140904
1047	154951	140757
1048	155141	140648
1049	155302	140511
1050	155416	140333
1051	155547	140170
1052	155683	140012
1053	155811	139845
1054	155944	139684
1055	156108	139551
1056	156372	139507
1057	156630	139457
1058	156798	139327
1059	156952	139184
1060	157124	139057
1061	157313	138945
1062	157492	138824
1063	157676	138707
1064	157855	138586
1065	158053	138481
1066	158252	138378
1067	158426	138252
1068	158564	138095
1069	158729	137961
1070	158884	137818
1071	159049	137684
1072	159219	137554
1073	159380	137417
1074	159508	137251
1075	159668	137113
1076	159949	137078
1077	160198	137015
1078	160379	136894
1079	160560	136773
1080	160721	136635
1081	160884	136499
1082	161074	136385
1083	161298	136300
1084	161546	136234
1085	161764	136144
1086	161925	136005
1087	162132	135905
1088	162326	135794
1089	162512	135675
1090	162706	135564
1091	162914	135463
1092	163134	135373
1093	163409	135328
1094	163675	135275
1095	163863	135157
1096	164031	135022
1097	164245	134926
